annata,copertina,etichetta_anno,numero_stimato,colore_tavole
07/08,Copertina 2008/2009 arancione/bianca,2008/2009,?,Grigio cromatico
08/09,Copertina 2008/2009 arancione/bianca,2008/2009,?,Grigio cromatico
08/09,Copertina 2009 arancione/bianca,2009,?,Grigio cromatico
08/09,Copertina 2009/2010 arancione/bianca,2009/2010,?,Grigio cromatico
09/10,Copertina 2009/2010 arancione/bianca,2009/2010,?,Grigio cromatico
09/10,Copertina 2009/2010 arancione/bianca formato ridotto,2009/2010,?,Rosa
09/10,Copertina 2010 arancione/bianca formato ridotto,2010,?,Rosa
09/10,Copertina 2010/2011 arancione/bianca formato ridotto,2010/2011,?,Rosa
09/10,Copertina 2010 bianca,2010,1,Rosa
10/11,Copertina 2010/2011 arancione/bianca formato ridotto,2010/2011,?,Rosa
10/11,Copertina 2011 arancione/bianca formato ridotto,2011,?,Rosa
10/11,Copertina 2011/2012 arancione/bianca formato ridotto,2011/2012,?,Rosa
11/12,Copertina 2011/2012 arancione/bianca formato ridotto,2011/2012,?,Rosa
11/12,Copertina 2012 arancione/bianca formato ridotto,2012,?,Rosa
11/12,Copertina 2012/2013 arancione/bianca formato ridotto,2012/2013,?,Rosa
12/13,Copertina 2012/2013 arancione/bianca formato ridotto,2012/2013,?,Rosa
12/13,Copertina 2013 arancione/bianca formato ridotto,2013,?,Rosa
12/13,Copertina 2013/2014 arancione/bianca formato ridotto,2013/2014,?,Rosa
13/14,Copertina 2013/2014 arancione/bianca formato ridotto,2013/2014,?,Rosa
13/14,Copertina 2014 arancione/bianca formato ridotto,2014,?,Rosa
13/14,Copertina 2014/2015 arancione/bianca formato ridotto,2014/2015,?,Rosa
14/15,Copertina 2014/2015 arancione/bianca formato ridotto,2014/2015,?,Rosa
14/15,Copertina 2015 arancione/bianca formato ridotto,2015,?,Rosa
