annata,fascicolo,provincia,citta
00/01,Cagliari,Cagliari,Senorbì
00/01,Cagliari,Cagliari,Sestu
01/02,Cagliari,Cagliari,Cagliari
01/02,Cagliari,Cagliari,Assemini
01/02,Cagliari,Cagliari,Capoterra
01/02,Cagliari,Cagliari,Carbonia
01/02,Cagliari,Cagliari,Elmas
01/02,Cagliari,Cagliari,Iglesias
01/02,Cagliari,Cagliari,Monserrato
01/02,Cagliari,Cagliari,Muravera
01/02,Cagliari,Cagliari,Pula
01/02,Cagliari,Cagliari,Quartu Sant'Elena
01/02,Cagliari,Cagliari,San Sperate
01/02,Cagliari,Cagliari,Sanluri
01/02,Cagliari,Cagliari,Sarroch
01/02,Cagliari,Cagliari,Selargius
01/02,Cagliari,Cagliari,Senorbì
01/02,Cagliari,Cagliari,Sestu
01/02,Cagliari,Cagliari,Villacidro
02/03,Cagliari,Cagliari,Cagliari
02/03,Cagliari,Cagliari,Assemini
02/03,Cagliari,Cagliari,Capoterra
02/03,Cagliari,Cagliari,Carbonia
02/03,Cagliari,Cagliari,Elmas
02/03,Cagliari,Cagliari,Iglesias
02/03,Cagliari,Cagliari,Monserrato
02/03,Cagliari,Cagliari,Muravera
02/03,Cagliari,Cagliari,Pula
02/03,Cagliari,Cagliari,Quartu Sant'Elena
02/03,Cagliari,Cagliari,Sanluri
02/03,Cagliari,Cagliari,San Sperate
02/03,Cagliari,Cagliari,Sarroch
02/03,Cagliari,Cagliari,Selargius
02/03,Cagliari,Cagliari,Senorbì
02/03,Cagliari,Cagliari,Sestu
02/03,Cagliari,Cagliari,Villacidro
03/04,Cagliari,Cagliari,Cagliari
03/04,Cagliari,Cagliari,Assemini
03/04,Cagliari,Cagliari,Capoterra
03/04,Cagliari,Cagliari,Carbonia
03/04,Cagliari,Cagliari,Elmas
03/04,Cagliari,Cagliari,Iglesias
03/04,Cagliari,Cagliari,Monserrato
03/04,Cagliari,Cagliari,Muravera
03/04,Cagliari,Cagliari,Pula
03/04,Cagliari,Cagliari,Quartu Sant'Elena
03/04,Cagliari,Cagliari,Sanluri
03/04,Cagliari,Cagliari,San Sperate
03/04,Cagliari,Cagliari,Sarroch
03/04,Cagliari,Cagliari,Selargius
03/04,Cagliari,Cagliari,Senorbì
03/04,Cagliari,Cagliari,Sestu
03/04,Cagliari,Cagliari,Villacidro
04/05,Cagliari,Cagliari,Cagliari
04/05,Cagliari,Cagliari,Assemini
04/05,Cagliari,Cagliari,Capoterra
04/05,Cagliari,Cagliari,Carbonia
04/05,Cagliari,Cagliari,Elmas
04/05,Cagliari,Cagliari,Iglesias
04/05,Cagliari,Cagliari,Monserrato
04/05,Cagliari,Cagliari,Muravera
04/05,Cagliari,Cagliari,Pula
04/05,Cagliari,Cagliari,Quartu Sant'Elena
04/05,Cagliari,Cagliari,Sanluri
04/05,Cagliari,Cagliari,San Sperate
04/05,Cagliari,Cagliari,Sarroch
04/05,Cagliari,Cagliari,Selargius
04/05,Cagliari,Cagliari,Senorbì
04/05,Cagliari,Cagliari,Sestu
04/05,Cagliari,Cagliari,Villacidro
05/06,Cagliari,Cagliari,Cagliari
05/06,Cagliari,Cagliari,Assemini
05/06,Cagliari,Cagliari,Capoterra
05/06,Cagliari,Cagliari,Carbonia
05/06,Cagliari,Cagliari,Elmas
05/06,Cagliari,Cagliari,Iglesias
05/06,Cagliari,Cagliari,Monserrato
05/06,Cagliari,Cagliari,Muravera
05/06,Cagliari,Cagliari,Pula
05/06,Cagliari,Cagliari,Quartu Sant'Elena
05/06,Cagliari,Cagliari,Sanluri
05/06,Cagliari,Cagliari,San Sperate
05/06,Cagliari,Cagliari,Sarroch
05/06,Cagliari,Cagliari,Selargius
05/06,Cagliari,Cagliari,Senorbì
05/06,Cagliari,Cagliari,Sestu
05/06,Cagliari,Cagliari,Villacidro
06/07,Cagliari,Cagliari,Cagliari
06/07,Cagliari,Cagliari,Assemini
06/07,Cagliari,Cagliari,Capoterra
06/07,Cagliari,Cagliari,Carbonia
06/07,Cagliari,Cagliari,Elmas
06/07,Cagliari,Cagliari,Iglesias
06/07,Cagliari,Cagliari,Monserrato
06/07,Cagliari,Cagliari,Muravera
06/07,Cagliari,Cagliari,Pula
06/07,Cagliari,Cagliari,Quartu Sant'Elena
06/07,Cagliari,Cagliari,Sanluri
06/07,Cagliari,Cagliari,San Sperate
06/07,Cagliari,Cagliari,Sant'Antioco
06/07,Cagliari,Cagliari,Sarroch
06/07,Cagliari,Cagliari,Selargius
06/07,Cagliari,Cagliari,Senorbì
06/07,Cagliari,Cagliari,Sestu
06/07,Cagliari,Cagliari,Villacidro
07/08,Cagliari,Cagliari,Cagliari
07/08,Cagliari,Cagliari,Assemini
07/08,Cagliari,Cagliari,Capoterra
07/08,Cagliari,Cagliari,Carbonia
07/08,Cagliari,Cagliari,Elmas
07/08,Cagliari,Cagliari,Iglesias
07/08,Cagliari,Cagliari,Monserrato
07/08,Cagliari,Cagliari,Muravera
07/08,Cagliari,Cagliari,Pula
07/08,Cagliari,Cagliari,Quartu Sant'Elena
07/08,Cagliari,Cagliari,Sanluri
07/08,Cagliari,Cagliari,San Sperate
07/08,Cagliari,Cagliari,Sant'Antioco
07/08,Cagliari,Cagliari,Sarroch
07/08,Cagliari,Cagliari,Selargius
07/08,Cagliari,Cagliari,Senorbì
07/08,Cagliari,Cagliari,Sestu
07/08,Cagliari,Cagliari,Villacidro
08/09,Cagliari,Cagliari,Cagliari
08/09,Cagliari,Cagliari,Assemini
08/09,Cagliari,Cagliari,Capoterra
08/09,Cagliari,Cagliari,Carbonia
08/09,Cagliari,Cagliari,Elmas
08/09,Cagliari,Cagliari,Iglesias
08/09,Cagliari,Cagliari,Monserrato
08/09,Cagliari,Cagliari,Muravera
08/09,Cagliari,Cagliari,Pula
08/09,Cagliari,Cagliari,Quartu Sant'Elena
08/09,Cagliari,Cagliari,Sanluri
08/09,Cagliari,Cagliari,San Sperate
08/09,Cagliari,Cagliari,Sant'Antioco
08/09,Cagliari,Cagliari,Sarroch
08/09,Cagliari,Cagliari,Selargius
08/09,Cagliari,Cagliari,Senorbì
08/09,Cagliari,Cagliari,Sestu
08/09,Cagliari,Cagliari,Villacidro
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Cagliari
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Assemini
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Capoterra
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Carbonia
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Elmas
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Iglesias
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Monserrato
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Muravera
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Pula
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Quartu Sant'Elena
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sanluri
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,San Sperate
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sant'Antioco
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sarroch
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Selargius
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Senorbì
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sestu
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Villacidro
10/11,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Cagliari
10/11,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Carbonia
10/11,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Iglesias
10/11,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sanluri
10/11,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Selargius
10/11,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Villacidro
11/12,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Cagliari
11/12,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Carbonia
11/12,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Elmas
11/12,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Iglesias
11/12,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Quartu Sant'Elena
11/12,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sanluri
11/12,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Selargius
11/12,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Villacidro
12/13,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Cagliari
12/13,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Carbonia
12/13,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Elmas
12/13,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Iglesias
12/13,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Muravera
12/13,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Pula
12/13,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Quartu Sant'Elena
12/13,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sanluri
12/13,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sestu
12/13,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Villacidro
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Cagliari
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Carbonia
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Elmas
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Iglesias
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Monserrato
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Muravera
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Pula
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Quartu Sant'Elena
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sanluri
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sestu
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Selargius
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Villacidro
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Cagliari
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Elmas
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Monserrato
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Muravera
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Pula
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Quartu Sant'Elena
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sestu
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Selargius
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Iglesias
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Carbonia
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Sanluri
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari,Villacidro
