annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
03/04,Lecce,Lecce 2004,04,Copertina 2004 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,Ricercato1.jpg,False,accertata
04/05,Bari,Bari 2005,05,Copertina 2005 arancione,226 x 274 mm,sottile,TuttoCittà metà duemila,,,,Ricercato1.jpg,False,accertata
04/05,Lecce,Lecce 2005,05,Copertina 2005 arancione,226 x 274 mm,sottile,TuttoCittà metà duemila,,,,Ricercato1.jpg,False,accertata
05/06,Bari,Bari 2006,06,Copertina 2005 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,Ricercato1.jpg,False,accertata
05/06,Lecce,Lecce 2006,06,Copertina 2005 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,Ricercato1.jpg,False,accertata
06/07,Bari,Bari 2007,07,Copertina 2007 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,56,gennaio 2007,,BA07.jpg,True,accertata
06/07,Lecce,Lecce 2007,07,Copertina 2007 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,Ricercato1.jpg,False,accertata
07/08,Bari,Bari 2008/2009,08/09,Copertina 2008/2009 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,Ricercato1.jpg,False,accertata
07/08,Lecce,Lecce 2008/2009,08/09,,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,Ricercato1.jpg,False,accertata
08/09,Bari,Bari 2009/2010,09/10,Copertina 2009/2010 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,48,febbraio 2009,,BA0910.jpg,True,accertata
08/09,Lecce,Lecce 2009/2010,09/10,,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,Ricercato1.jpg,False,accertata
09/10,Bari - Barletta Andria Trani,Bari - Barletta Andria Trani 2010/2011,10/11,Copertina 2010/2011 arancione/bianca formato ridotto,226 x 274 mm,grossa,TuttoCittà anni dieci,80,febbraio 2010,Riforma cartografica; nuovo formato,BA1011.jpg,True,accertata
09/10,Lecce,Lecce 2010/2011,10/11,Copertina 2010/2011 arancione/bianca formato ridotto,226 x 274 mm,grossa,TuttoCittà anni dieci,,,Riforma cartografica; nuovo formato,Ricercato2.jpg,False,accertata
10/11,Bari - Barletta Andria Trani,Bari - Barletta Andria Trani 2011/2012,11/12,Copertina 2011/2012 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,80,gennaio 2011,,BA1112.jpg,True,accertata
10/11,Lecce,Lecce 2011/2012,11/12,,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False,accertata
11/12,Bari - Barletta Andria Trani,Bari - Barletta Andria Trani 2012/2013,12/13,Copertina 2012/2013 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,72,gennaio 2012,,BA1213.jpg,True,accertata
11/12,Lecce,Lecce 2012/2013,12/13,,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False,accertata
12/13,Bari - Barletta Andria Trani,Bari - Barletta Andria Trani 2013/2014,13/14,Copertina 2013/2014 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,64,gennaio 2013,,BA1314.jpg,True,accertata
12/13,Lecce,Lecce 2013/2014,13/14,,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False,accertata
13/14,Bari - Barletta Andria Trani,Bari - Barletta Andria Trani 2014/2015,14/15,Copertina 2014/2015 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False,accertata
13/14,Lecce,Lecce 2014/2015,14/15,,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False,accertata
14/15,Bari - Barletta Andria Trani,Bari - Barletta Andria Trani ?,,,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False,accertata
