annata,fascicolo,sezione,nome_normalizzato,tipo,relazione,pagina,collocazione,riferimento,note,origine
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Istruzione e Sport,Istruzione e Sport,,,29,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Cosa e dove,Cosa e dove,,,30,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,La Provincia di Nuoro,La Provincia di Nuoro,cartografia,,31,,,Carta stradale della provincia,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Elenco delle vie,Elenco vie,,,32,margini,Nuoro,,dedotta dalla nota della tavola
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Tavole topografiche,Tavole topografiche,cartografia,,32,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,L'Oristanese,L'Oristanese,,,34,,,Mappa illustrata della provincia,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Oristano - Sommario,Oristano - Sommario,,,35,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Conosci la tua città?,Conosci la tua città?,,,35,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Trasporti,Trasporti,,,36,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Sanità,Sanità,,,37,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Istruzione e Sport,Istruzione e Sport,,,37,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Cosa e dove,Cosa e dove,,,38,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,La Provincia di Oristano,La Provincia di Oristano,cartografia,,39,,,Carta stradale della provincia,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Elenco delle vie,Elenco vie,,,40,margini,Oristano,,dedotta dalla nota della tavola
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Tavole topografiche,Tavole topografiche,cartografia,,40,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Sassari - Sommario,Sassari - Sommario,,,43,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Conosci la tua città?,Conosci la tua città?,,,43,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Trasporti,Trasporti,,,45,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Sanità,Sanità,,,46,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Istruzione e Sport,Istruzione e Sport,,,47,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Cosa e dove,Cosa e dove,,,48,,,,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Comuni della Provincia di Sassari,Comuni della Provincia di Sassari,,,50,,,Notizie di pubblico interesse e indirizzi utili,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,La Provincia di Sassari,La Provincia di Sassari,cartografia,,52,,,Carta stradale della provincia,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Le vie di accesso a Sassari,Le vie di accesso a Sassari,,,53,,,Mappa,rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Elenco delle vie,Elenco vie,,,54,,,"1 pagina, cornice grigia",rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Tavole topografiche,Tavole topografiche,cartografia,,55,,,"3 tavole, 3 pagine",rilevata
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Elenco delle vie,Elenco vie,,,58,margini,Alghero,,dedotta dalla nota della tavola
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Elenco delle vie,Elenco vie,,,60,margini,Olbia,,dedotta dalla nota della tavola
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Elenco delle vie,Elenco vie,,,62,margini,Porto Torres,,dedotta dalla nota della tavola
84/85,Cagliari - Oristano 84,Cagliari - Sommario,Cagliari - Sommario,,,1,,,,rilevata
84/85,Cagliari - Oristano 84,Conosci la tua città?,Conosci la tua città?,,,2,,,,rilevata
84/85,Cagliari - Oristano 84,Costituzione della Repubblica Italiana,Costituzione della Repubblica Italiana,inserto,,3,,,"Inserto sui primi 54 articoli della Costituzione, 2 pagine su fondo azzurro",rilevata
84/85,Cagliari - Oristano 84,Trasporti,Trasporti,,,6,,,,rilevata
84/85,Cagliari - Oristano 84,Sanità,Sanità,,,6,,,,rilevata
84/85,Cagliari - Oristano 84,Istruzione e Sport,Istruzione e Sport,,,8,,,,rilevata
84/85,Cagliari - Oristano 84,Cosa e dove,Cosa e dove,,,10,,,,rilevata
84/85,Cagliari - Oristano 84,La Provincia di Cagliari,La Provincia di Cagliari,cartografia,,12,,,Carta stradale della provincia,rilevata
84/85,Cagliari - Oristano 84,Le vie di accesso a Cagliari,Le vie di accesso a Cagliari,,,13,,,Mappa,rilevata
84/85,Cagliari - Oristano 84,Elenco delle vie,Elenco vie,,,14,,,"2 pagine, cornice grigia, illustrazioni dei monumenti",rilevata
84/85,Cagliari - Oristano 84,Tavole topografiche,Tavole topografiche,cartografia,,16,,,"7 tavole, 7 pagine",rilevata
84/85,Cagliari - Oristano 84,Comuni della Provincia di Cagliari,Comuni della Provincia di Cagliari,,,24,,,Notizie di pubblico interesse e indirizzi utili,rilevata
84/85,Cagliari - Oristano 84,Elenco delle vie,Elenco vie,,,26,margini,Carbonia,,dedotta dalla nota della tavola
84/85,Cagliari - Oristano 84,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
84/85,Cagliari - Oristano 84,Elenco delle vie,Elenco vie,,,28,margini,Iglesias,,dedotta dalla nota della tavola
84/85,Cagliari - Oristano 84,Elenco delle vie,Elenco vie,,,30,margini,Quartu Sant'Elena,,dedotta dalla nota della tavola
84/85,Cagliari - Oristano 84,L'Oristanese,L'Oristanese,,,32,,,Mappa illustrata della provincia,rilevata
84/85,Cagliari - Oristano 84,Oristano - Sommario,Oristano - Sommario,,,33,,,,rilevata
84/85,Cagliari - Oristano 84,Conosci la tua città?,Conosci la tua città?,,,34,,,,rilevata
84/85,Cagliari - Oristano 84,Trasporti,Trasporti,,,35,,,,rilevata
84/85,Cagliari - Oristano 84,Sanità,Sanità,,,35,,,,rilevata
84/85,Cagliari - Oristano 84,Istruzione e Sport,Istruzione e Sport,,,35,,,,rilevata
84/85,Cagliari - Oristano 84,Cosa e dove,Cosa e dove,,,36,,,,rilevata
84/85,Cagliari - Oristano 84,La Provincia di Oristano,La Provincia di Oristano,cartografia,,37,,,Carta stradale della provincia,rilevata
84/85,Cagliari - Oristano 84,Elenco delle vie,Elenco vie,,,38,margini,Oristano,,dedotta dalla nota della tavola
84/85,Cagliari - Oristano 84,Tavole topografiche,Tavole topografiche,cartografia,,38,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
84/85,Nuoro - Sassari 84,Nuoro - Sommario,Nuoro - Sommario,,,1,,,,rilevata
84/85,Nuoro - Sassari 84,Conosci la tua città?,Conosci la tua città?,,,2,,,,rilevata
84/85,Nuoro - Sassari 84,Trasporti,Trasporti,,,2,,,,rilevata
84/85,Nuoro - Sassari 84,Sanità,Sanità,,,2,,,,rilevata
84/85,Nuoro - Sassari 84,Costituzione della Repubblica Italiana,Costituzione della Repubblica Italiana,inserto,,3,,,"Inserto sui primi 54 articoli della Costituzione, 2 pagine su fondo azzurro",rilevata
84/85,Nuoro - Sassari 84,Istruzione e Sport,Istruzione e Sport,,,5,,,,rilevata
84/85,Nuoro - Sassari 84,Cosa e dove,Cosa e dove,,,6,,,,rilevata
84/85,Nuoro - Sassari 84,La Provincia di Nuoro,La Provincia di Nuoro,cartografia,,7,,,Carta stradale della provincia,rilevata
84/85,Nuoro - Sassari 84,Elenco delle vie,Elenco vie,,,8,margini,Nuoro,,dedotta dalla nota della tavola
84/85,Nuoro - Sassari 84,Tavole topografiche,Tavole topografiche,cartografia,,8,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
84/85,Nuoro - Sassari 84,Il Nuorese,Il Nuorese,,,10,,,Mappa illustrata della provincia,rilevata
84/85,Nuoro - Sassari 84,Sassari - Sommario,Sassari - Sommario,,,12,,,,rilevata
84/85,Nuoro - Sassari 84,Conosci la tua città?,Conosci la tua città?,,,13,,,,rilevata
84/85,Nuoro - Sassari 84,Trasporti,Trasporti,,,13,,,,rilevata
84/85,Nuoro - Sassari 84,Sanità,Sanità,,,14,,,,rilevata
84/85,Nuoro - Sassari 84,Istruzione e Sport,Istruzione e Sport,,,15,,,,rilevata
84/85,Nuoro - Sassari 84,Cosa e dove,Cosa e dove,,,16,,,,rilevata
84/85,Nuoro - Sassari 84,La Provincia di Sassari,La Provincia di Sassari,cartografia,,18,,,Carta stradale della provincia,rilevata
84/85,Nuoro - Sassari 84,Le vie di accesso a Sassari,Le vie di accesso a Sassari,,,19,,,Mappa,rilevata
84/85,Nuoro - Sassari 84,Elenco delle vie,Elenco vie,,,20,,,"1 pagina, cornice grigia",rilevata
84/85,Nuoro - Sassari 84,Tavole topografiche,Tavole topografiche,cartografia,,21,,,"3 tavole, 3 pagine",rilevata
84/85,Nuoro - Sassari 84,Comuni della Provincia di Sassari,Comuni della Provincia di Sassari,,,24,,,Notizie di pubblico interesse e indirizzi utili,rilevata
84/85,Nuoro - Sassari 84,Elenco delle vie,Elenco vie,,,26,margini,Alghero,,dedotta dalla nota della tavola
84/85,Nuoro - Sassari 84,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
84/85,Nuoro - Sassari 84,Elenco delle vie,Elenco vie,,,28,margini,Olbia,,dedotta dalla nota della tavola
84/85,Nuoro - Sassari 84,Elenco delle vie,Elenco vie,,,30,margini,Porto Torres,,dedotta dalla nota della tavola
85/86,Cagliari - Oristano 85,Cagliari - Sommario,Cagliari - Sommario,,,1,,,,rilevata
85/86,Cagliari - Oristano 85,Conosci la tua città?,Conosci la tua città?,,,3,,,,rilevata
85/86,Cagliari - Oristano 85,Trasporti,Trasporti,,,5,,,,rilevata
85/86,Cagliari - Oristano 85,Sanità,Sanità,,,6,,,,rilevata
85/86,Cagliari - Oristano 85,Istruzione e Sport,Istruzione e Sport,,,8,,,,rilevata
85/86,Cagliari - Oristano 85,Cosa e dove,Cosa e dove,,,10,,,,rilevata
85/86,Cagliari - Oristano 85,La Provincia di Cagliari,La Provincia di Cagliari,cartografia,,12,,,Carta stradale della provincia,rilevata
85/86,Cagliari - Oristano 85,Le vie di accesso a Cagliari,Le vie di accesso a Cagliari,,,13,,,Mappa,rilevata
85/86,Cagliari - Oristano 85,Elenco delle vie,Elenco vie,,,14,,,"2 pagine, cornice grigia, illustrazioni dei monumenti",rilevata
85/86,Cagliari - Oristano 85,Tavole topografiche,Tavole topografiche,cartografia,,16,,,"7 tavole, 7 pagine",rilevata
85/86,Cagliari - Oristano 85,Comuni della Provincia di Cagliari,Comuni della Provincia di Cagliari,,,23,,,Notizie di pubblico interesse e indirizzi utili,rilevata
85/86,Cagliari - Oristano 85,Elenco delle vie,Elenco vie,,,26,margini,Carbonia,,dedotta dalla nota della tavola
85/86,Cagliari - Oristano 85,Tavole topografiche,Tavole topografiche,cartografia,,26,,,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",rilevata
85/86,Cagliari - Oristano 85,Elenco delle vie,Elenco vie,,,28,margini,Iglesias,,dedotta dalla nota della tavola
85/86,Cagliari - Oristano 85,Elenco delle vie,Elenco vie,,,30,margini,Quartu Sant'Elena,,dedotta dalla nota della tavola
85/86,Cagliari - Oristano 85,L'Oristanese,L'Oristanese,,,32,,,Mappa illustrata della provincia,rilevata
85/86,Cagliari - Oristano 85,Oristano - Sommario,Oristano - Sommario,,,33,,,,rilevata
85/86,Cagliari - Oristano 85,Conosci la tua città?,Conosci la tua città?,,,34,,,,rilevata
85/86,Cagliari - Oristano 85,Trasporti,Trasporti,,,34,,,,rilevata
85/86,Cagliari - Oristano 85,Sanità,Sanità,,,35,,,,rilevata
85/86,Cagliari - Oristano 85,Istruzione e Sport,Istruzione e Sport,,,35,,,,rilevata
85/86,Cagliari - Oristano 85,Cosa e dove,Cosa e dove,,,36,,,,rilevata
85/86,Cagliari - Oristano 85,La Provincia di Oristano,La Provincia di Oristano,cartografia,,37,,,Carta stradale della provincia,rilevata
