annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,pagine_comprese_copertine,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
91/92,Trapani,Trapani 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,32,,ottobre 1991,,TP92.jpg,True,accertata
91/92,Ragusa - Siracusa,Ragusa - Siracusa 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,,ottobre 1991,,RGSR92.jpg,True,accertata
91/92,Caltanissetta - Enna,Caltanissetta - Enna 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,ottobre 1991,,CLEN92.jpg,True,accertata
91/92,Messina,Messina 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,32,,ottobre 1991,,ME92.jpg,True,accertata
92/93,Palermo,Palermo 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,80,,ottobre 1992,,PA93.jpg,True,accertata
92/93,Catania,Catania 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,64,,ottobre 1992,,CT93.jpg,True,accertata
92/93,Agrigento,Agrigento 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,,ottobre 1992,,AG93.jpg,True,accertata
92/93,Trapani,Trapani 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,32,,ottobre 1992,,TP93.jpg,True,accertata
92/93,Ragusa - Siracusa,Ragusa - Siracusa 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,40,,ottobre 1992,,RGSR93.jpg,True,accertata
92/93,Caltanissetta - Enna,Caltanissetta - Enna 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,,ottobre 1992,,CLEN93.jpg,True,accertata
92/93,Messina,Messina 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,32,,ottobre 1992,,ME93.jpg,True,accertata
93/94,Palermo,Palermo 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,86,,ottobre 1993,,PA94.jpg,True,accertata
93/94,Catania,Catania 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,62,,ottobre 1993,,CT94.jpg,True,accertata
93/94,Agrigento,Agrigento 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,ottobre 1993,,AG94.jpg,True,accertata
93/94,Trapani,Trapani 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
93/94,Ragusa - Siracusa,Ragusa - Siracusa 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,,ottobre 1993,,RGSR94.jpg,True,accertata
93/94,Caltanissetta - Enna,Caltanissetta - Enna 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,ottobre 1993,,CLEN94.jpg,True,accertata
93/94,Messina,Messina 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,ottobre 1993,,ME94.jpg,True,accertata
94/95,Palermo,Palermo 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,78,,ottobre 1994,,PA95.jpg,True,accertata
94/95,Catania,Catania 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,54,,ottobre 1994,,CT95.jpg,True,accertata
94/95,Agrigento,Agrigento 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
94/95,Trapani,Trapani 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,ottobre 1994,,TP95.jpg,True,accertata
94/95,Ragusa - Siracusa,Ragusa - Siracusa 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,ottobre 1994,,RGSR95.jpg,True,accertata
94/95,Caltanissetta - Enna,Caltanissetta - Enna 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
94/95,Messina,Messina 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,ottobre 1994,,ME95.jpg,True,accertata
