annata,fascicolo,citta,pagina,tavole,pagine_tavola,elenco_vie,illustrazioni,nota,cambiamenti
90/91,Cagliari - Oristano 90/91,Carbonia,26,1,2,sezione dedicata,,"1 tavola, 2 pagine",Riduzione della superficie cartografata
90/91,Cagliari - Oristano 90/91,Iglesias,28,1,2,sezione dedicata,,"1 tavola, 2 pagine",Aumento della superficie cartografata
90/91,Cagliari - Oristano 90/91,Quartu Sant'Elena,30,1,2,sezione dedicata,,"1 tavola, 2 pagine",Aumento della superficie cartografata
90/91,Cagliari - Oristano 90/91,Oristano,44,1,2,sezione dedicata,,"1 tavola, 2 pagine",Aumento della superficie cartografata; Aggiornamenti nella cartografia
90/91,Nuoro - Sassari 90/91,Nuoro,10,1,2,sezione dedicata,,"1 tavola, 2 pagine",Aumento della superficie cartografata
90/91,Nuoro - Sassari 90/91,Sassari,24,4,4,sezione dedicata,,"4 tavole, 4 pagine",Aumento della superficie cartografata
90/91,Nuoro - Sassari 90/91,Zona industriale Predda Niedda,28,2,2,sezione dedicata,,"2 tavole, 2 pagine",Nuova area cartografata
90/91,Nuoro - Sassari 90/91,Alghero,30,1,2,sezione dedicata,,"1 tavola, 2 pagine",Aumento della superficie cartografata
90/91,Nuoro - Sassari 90/91,Olbia,32,1,2,sezione dedicata,,"1 tavola, 2 pagine",Aumento della superficie cartografata
90/91,Nuoro - Sassari 90/91,Porto Torres,34,1,2,sezione dedicata,,"1 tavola, 2 pagine",Aumento della superficie cartografata
90/91,Nuoro - Sassari 90/91,Tempio Pausania,36,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
91/92,Cagliari - Oristano 91,Cagliari,28,8,8,sezione dedicata,,"8 tavole, 8 pagine",Aumento della superficie cartografata
91/92,Cagliari - Oristano 91,Carbonia,36,1,2,sezione dedicata,,"1 tavola, 2 pagine",
91/92,Cagliari - Oristano 91,Assemini,38,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
91/92,Cagliari - Oristano 91,Elmas,39,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
91/92,Cagliari - Oristano 91,Iglesias,40,1,2,sezione dedicata,,"1 tavola, 2 pagine",
91/92,Cagliari - Oristano 91,Quartu Sant'Elena,42,3,3,sezione dedicata,,"3 tavole, 3 pagine",Aumento della superficie cartografata
91/92,Cagliari - Oristano 91,Guspini,45,1,1,sezione dedicata,,"1 tavola, 1 pagina",
91/92,Cagliari - Oristano 91,Oristano,60,1,2,sezione dedicata,,"1 tavola, 2 pagine",
91/92,Nuoro - Sassari 91,Nuoro,14,1,2,sezione dedicata,,"1 tavola, 2 pagine",
91/92,Nuoro - Sassari 91,Sassari,32,4,4,sezione dedicata,,"4 tavole, 4 pagine",
91/92,Nuoro - Sassari 91,Zona industriale Predda Niedda,36,2,2,sezione dedicata,,"2 tavole, 2 pagine",
91/92,Nuoro - Sassari 91,Alghero,38,1,2,sezione dedicata,,"1 tavola, 2 pagine",
91/92,Nuoro - Sassari 91,Olbia,40,1,2,sezione dedicata,,"1 tavola, 2 pagine",
91/92,Nuoro - Sassari 91,Porto Torres,42,1,2,sezione dedicata,,"1 tavola, 2 pagine",
91/92,Nuoro - Sassari 91,Tempio Pausania,44,1,1,sezione dedicata,,"1 tavola, 1 pagina",
92/93,Cagliari - Oristano 92,Cagliari,24,8,8,sezione dedicata,,"8 tavole, 8 pagine",
92/93,Cagliari - Oristano 92,Carbonia,32,1,2,sezione dedicata,,"1 tavola, 2 pagine",
92/93,Cagliari - Oristano 92,Assemini,34,1,1,sezione dedicata,,"1 tavola, 1 pagina",
92/93,Cagliari - Oristano 92,Elmas,35,1,1,sezione dedicata,,"1 tavola, 1 pagina",
92/93,Cagliari - Oristano 92,Iglesias,36,1,2,sezione dedicata,,"1 tavola, 2 pagine",
92/93,Cagliari - Oristano 92,Guspini,38,1,2,sezione dedicata,,"1 tavola, 2 pagine",Aumento della superficie cartografata
92/93,Cagliari - Oristano 92,Quartu Sant'Elena,40,3,3,sezione dedicata,,"3 tavole, 3 pagine",
92/93,Cagliari - Oristano 92,Pula,43,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
92/93,Cagliari - Oristano 92,Oristano,60,1,2,sezione dedicata,,"1 tavola, 2 pagine",
92/93,Nuoro - Sassari 92,Nuoro,14,1,2,sezione dedicata,,"1 tavola, 2 pagine",
92/93,Nuoro - Sassari 92,Macomer,16,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
92/93,Nuoro - Sassari 92,Sassari,30,4,4,sezione dedicata,,"4 tavole, 4 pagine",
92/93,Nuoro - Sassari 92,Zona industriale Predda Niedda,34,2,2,sezione dedicata,,"2 tavole, 2 pagine",
92/93,Nuoro - Sassari 92,Alghero,36,1,2,sezione dedicata,,"1 tavola, 2 pagine",
92/93,Nuoro - Sassari 92,Olbia,38,1,2,sezione dedicata,,"1 tavola, 2 pagine",
92/93,Nuoro - Sassari 92,Porto Torres,40,1,2,sezione dedicata,,"1 tavola, 2 pagine",
92/93,Nuoro - Sassari 92,Tempio Pausania,42,1,1,sezione dedicata,,"1 tavola, 1 pagina",
93/94,Cagliari - Oristano 93,Cagliari,26,8,8,sezione dedicata,,"8 tavole, 8 pagine",
93/94,Cagliari - Oristano 93,Carbonia,34,1,2,sezione dedicata,,"1 tavola, 2 pagine",
93/94,Cagliari - Oristano 93,Assemini,36,1,1,sezione dedicata,,"1 tavola, 1 pagina",
93/94,Cagliari - Oristano 93,Elmas,37,1,1,sezione dedicata,,"1 tavola, 1 pagina",
93/94,Cagliari - Oristano 93,Iglesias,38,1,2,sezione dedicata,,"1 tavola, 2 pagine",
93/94,Cagliari - Oristano 93,Guspini,40,1,2,sezione dedicata,,"1 tavola, 2 pagine",
93/94,Cagliari - Oristano 93,Quartu Sant'Elena,42,3,3,sezione dedicata,,"3 tavole, 3 pagine",
93/94,Cagliari - Oristano 93,Pula,45,1,1,sezione dedicata,,"1 tavola, 1 pagina",
93/94,Cagliari - Oristano 93,Oristano,60,1,2,sezione dedicata,,"1 tavola, 2 pagine",
93/94,Nuoro - Sassari 93,Nuoro,12,1,2,sezione dedicata,,"1 tavola, 2 pagine",
93/94,Nuoro - Sassari 93,Macomer,14,1,1,sezione dedicata,,"1 tavola, 1 pagina",Nuovo comune cartografato
93/94,Nuoro - Sassari 93,Sassari,32,4,4,sezione dedicata,,"4 tavole, 4 pagine",
93/94,Nuoro - Sassari 93,Zona industriale Predda Niedda,36,2,2,sezione dedicata,,"2 tavole, 2 pagine",
93/94,Nuoro - Sassari 93,Alghero,38,1,2,sezione dedicata,,"1 tavola, 2 pagine",
93/94,Nuoro - Sassari 93,Olbia,40,1,2,sezione dedicata,,"1 tavola, 2 pagine",Nuova cartografia rinnovata
93/94,Nuoro - Sassari 93,Porto Torres,42,1,2,sezione dedicata,,"1 tavola, 2 pagine",
93/94,Nuoro - Sassari 93,Tempio Pausania,44,1,1,sezione dedicata,,"1 tavola, 1 pagina",
94/95,Cagliari - Oristano 94,Cagliari,24,8,8,sezione dedicata,,"8 tavole, 8 pagine",
94/95,Cagliari - Oristano 94,Carbonia,32,1,2,sezione dedicata,,"1 tavola, 2 pagine",
94/95,Cagliari - Oristano 94,Assemini,34,1,1,sezione dedicata,,"1 tavola, 1 pagina",
94/95,Cagliari - Oristano 94,Elmas,35,1,1,sezione dedicata,,"1 tavola, 1 pagina",
94/95,Cagliari - Oristano 94,Iglesias,36,1,2,sezione dedicata,,"1 tavola, 2 pagine",
94/95,Cagliari - Oristano 94,Guspini,37,1,2,sezione dedicata,,"1 tavola, 2 pagine",
94/95,Cagliari - Oristano 94,Quartu Sant'Elena,40,3,3,sezione dedicata,,"3 tavole, 3 pagine",
94/95,Cagliari - Oristano 94,Pula,43,1,1,sezione dedicata,,"1 tavola, 1 pagina",
94/95,Cagliari - Oristano 94,Oristano,58,1,2,sezione dedicata,,"1 tavola, 2 pagine",
94/95,Nuoro - Sassari 94,Nuoro,12,1,2,sezione dedicata,,"1 tavola, 2 pagine",
94/95,Nuoro - Sassari 94,Macomer,14,1,1,sezione dedicata,,"1 tavola, 1 pagina",
94/95,Nuoro - Sassari 94,Sassari,28,4,4,sezione dedicata,,"4 tavole, 4 pagine",
94/95,Nuoro - Sassari 94,Zona industriale Predda Niedda,32,2,2,sezione dedicata,,"2 tavole, 2 pagine",
94/95,Nuoro - Sassari 94,Alghero,34,1,2,sezione dedicata,,"1 tavola, 2 pagine",Aumento della superficie cartografata
94/95,Nuoro - Sassari 94,Olbia,36,1,2,sezione dedicata,,"1 tavola, 2 pagine",
94/95,Nuoro - Sassari 94,Porto Torres,38,1,2,sezione dedicata,,"1 tavola, 2 pagine",
94/95,Nuoro - Sassari 94,Tempio Pausania,40,1,1,sezione dedicata,,"1 tavola, 1 pagina",
95/96,Cagliari - Oristano 95,Cagliari,28,7,7,sezione dedicata,,"7 tavole, 7 pagine",Monserrato diventa comune autonomo
95/96,Cagliari - Oristano 95,Assemini,35,1,1,sezione dedicata,,"1 tavola, 1 pagina",
95/96,Cagliari - Oristano 95,Carbonia,36,1,2,sezione dedicata,,"1 tavola, 2 pagine",
95/96,Cagliari - Oristano 95,Elmas,38,1,1,sezione dedicata,,"1 tavola, 1 pagina",
95/96,Cagliari - Oristano 95,Iglesias,40,1,2,sezione dedicata,,"1 tavola, 2 pagine",
95/96,Cagliari - Oristano 95,Guspini,42,1,2,sezione dedicata,,"1 tavola, 2 pagine",
95/96,Cagliari - Oristano 95,Monserrato,44,1,1,sezione dedicata,,"1 tavola, 1 pagina",Precedentemente incluso in Cagliari
95/96,Cagliari - Oristano 95,Pula,45,1,1,sezione dedicata,,"1 tavola, 1 pagina",
95/96,Cagliari - Oristano 95,Quartu Sant'Elena,46,3,3,sezione dedicata,,"3 tavole, 3 pagine",
95/96,Cagliari - Oristano 95,Oristano,60,1,2,sezione dedicata,,"1 tavola, 2 pagine",
