annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta
96/97,Pordenone,Pordenone 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False
97/98,Gorizia - Trieste,Gorizia - Trieste 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,46,aprile 1997,Cambio formato,GOTS97.jpg,True
97/98,Udine,Udine 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,30,aprile 1997,Cambio formato,UD97.jpg,True
97/98,Pordenone,Pordenone 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False
98/99,Gorizia - Trieste,Gorizia - Trieste (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,54,aprile 1998,"""da utilizzare fino a Luglio 1999"" * Grande aumento topografia Trieste",GOTS98.jpg,True
98/99,Udine,Udine (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,,,"""da utilizzare fino a Luglio 1999""",Ricercato1.jpg,False
99/00,Gorizia - Trieste,Gorizia - Trieste 1999/2000,99/00,Copertina 1999/2000 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio,54,aprile 1999,,GOTS99.jpg,True
99/00,Udine,Udine 1999/2000,99/00,Copertina 1999/2000 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio,30,aprile 1999,,UD99.jpg,True
00/01,Gorizia - Trieste,Gorizia - Trieste 2000/2001,00/01,Copertina 2000/2001 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio bis,46,aprile 2000,,GOTS00.jpg,True
00/01,Udine,Udine 2000/2001,00/01,Copertina 2000/2001 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio bis,,,,Ricercato1.jpg,False
01/02,Gorizia - Trieste,Gorizia - Trieste 2001/2002,01/02,Copertina 2001/2002 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,46,aprile 2001,,GOTS01.jpg,True
01/02,Udine,Udine 2001/2002,01/02,Copertina 2001/2002 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,Ricercato1.jpg,False
02/03,Gorizia - Trieste,Gorizia - Trieste 2002/2003,02/03,Copertina 2002/2003 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,46,maggio 2002,,GOTS02.jpg,True
02/03,Udine,Udine 2002/2003,02/03,Copertina 2002/2003 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,Ricercato1.jpg,False
03/04,Gorizia - Trieste,Gorizia - Trieste 2003/2004,03/04,Copertina 2003/2004 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,46,giugno 2003,,GOTS03.jpg,True
03/04,Udine,Udine 2003/2004,03/04,Copertina 2003/2004 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,Ricercato1.jpg,False
04/05,Gorizia - Trieste,Gorizia - Trieste 2004/2005,04/05,Copertina 2004/2005 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,46,giugno 2004,,GOTS04.jpg,True
04/05,Udine,Udine 2004/2005,04/05,Copertina 2004/2005 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,,,,Ricercato1.jpg,False
05/06,Gorizia - Trieste,Gorizia - Trieste 2005,05,Copertina 2005 arancione,226 x 274 mm,sottile,TuttoCittà metà duemila,46,giugno 2005,,GOTS05.jpg,True
05/06,Udine,Udine 2005,05,Copertina 2005 arancione,226 x 274 mm,sottile,TuttoCittà metà duemila,,,,Ricercato1.jpg,False
06/07,Gorizia - Trieste,Gorizia - Trieste 2006,06,Copertina 2006 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,Ricercato1.jpg,False
06/07,Udine,Udine 2006,06,Copertina 2006 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,Ricercato1.jpg,False
07/08,Gorizia - Trieste,Gorizia - Trieste 2007,07,Copertina 2007 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,Ricercato1.jpg,False
07/08,Udine,Udine 2007,07,Copertina 2007 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,Ricercato1.jpg,False
08/09,Gorizia - Trieste,Gorizia - Trieste 2008/2009,08/09,Copertina 2008/2009 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,40,giugno 2008,,GOTS08.jpg,True
08/09,Udine,Udine 2008/2009,08/09,Copertina 2008/2009 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,25,giugno 2008,,UD08.jpg,True
09/10,Gorizia - Trieste,Gorizia - Trieste 2009/2010,09/10,Copertina 2009/2010 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,32,giugno 2009,,GOTS09.jpg,True
09/10,Udine,Udine 2009/2010,09/10,Copertina 2009/2010 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,,,,Ricercato1.jpg,False
10/11,Gorizia - Trieste,Gorizia - Trieste 2010/2011,10/11,Copertina 2010/2011 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,48,giugno 2010,Riforma cartografica; nuovo formato,GOTS10.jpg,True
10/11,Udine,Udine 2010/2011,10/11,Copertina 2010/2011 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,24,giugno 2010,Riforma cartografica; nuovo formato,UD10.jpg,True
11/12,Gorizia - Trieste,Gorizia - Trieste 2011/2012,11/12,Copertina 2011/2012 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,48,giugno 2011,,GOTS11.jpg,True
11/12,Udine,Udine 2011/2012,11/12,Copertina 2011/2012 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False
12/13,Gorizia - Trieste,Gorizia - Trieste 2012/2013,12/13,Copertina 2012/2013 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False
12/13,Udine,Udine 2012/2013,12/13,Copertina 2012/2013 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False
13/14,Gorizia - Trieste,Gorizia - Trieste 2013/2014,13/14,Copertina 2013/2014 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False
13/14,Udine,Udine 2013/2014,13/14,Copertina 2013/2014 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False
14/15,Gorizia - Trieste,Gorizia - Trieste 2014/2015,14/15,Copertina 2014/2015 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,48,maggio 2014,,GOTS14.jpg,True
14/15,Udine,Udine 2014/2015,14/15,Copertina 2014/2015 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,,,,Ricercato2.jpg,False
