annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,pagine_comprese_copertine,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
96/97,Frosinone,Frosinone 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,22,,ottobre 1996,Cambio formato,FR97.jpg,True,accertata
96/97,Latina,Latina 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,,Cambio formato,Ricercato1.jpg,False,accertata
96/97,Rieti - Viterbo,Rieti - Viterbo 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,,Cambio formato,Ricercato1.jpg,False,accertata
97/98,Roma,Roma e dintorni (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,190,,agosto 1997,"""novembre 1997 - ottobre 1998""",Roma9798.jpg,True,accertata
97/98,Provincia di Roma,Provincia di Roma (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,46,,settembre 1997,"""novembre 1997 - ottobre 1998""",PROVROMA97b.jpg,True,accertata
97/98,Frosinone,Frosinone (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,22,,novembre 1997,"""gennaio 1998 - dicembre 1998""",FR97b.jpg,True,accertata
97/98,Latina,Latina (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,,,,,Ricercato1.jpg,False,accertata
97/98,Rieti - Viterbo,Rieti - Viterbo (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,38,,novembre 1997,"""gennaio 1998 - dicembre 1998""",RIVT97b.jpg,True,accertata
98/99,Roma,Roma e dintorni (99),99,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,190,,agosto 1998,"""da utilizzare fino a Dicembre 1999""",Roma9899.jpg,True,accertata
99/00,Roma,Roma e dintorni 1999/2000,99/00,Copertina 1999/2000 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio bis,182,,agosto 1999,,Roma9900.jpg,True,accertata
00/01,Roma,Roma e dintorni 2000/2001,00/01,Copertina 2000/2001 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,182,,luglio 2000,,Roma0001.jpg,True,accertata
01/02,Roma,Roma e dintorni 2001/2002,01/02,Copertina 2001/2002 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,174,175,luglio 2001,,Roma0102.jpg,True,accertata
02/03,Roma,Roma e dintorni 2002/2003,02/03,Copertina 2002/2003 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,182,,settembre 2002,,Roma0203.jpg,True,accertata
03/04,Roma,Roma e dintorni 2003/2004,03/04,Copertina 2003/2004 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,174,,settembre 2003,,Roma0304.jpg,True,accertata
04/05,Roma,Roma 2004,04,Copertina 2004 arancione,226 x 274 mm,sottile,TuttoCittà metà duemila,174,,settembre 2004,,Roma0405.jpg,True,accertata
05/06,Roma,Roma 2005,05,Copertina 2005 arancione,226 x 274 mm,grossa,TuttoCittà metà duemila,182,,settembre 2005,,Roma0506.jpg,True,accertata
06/07,Roma,Roma e dintorni 2006,06,Copertina 2006 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,184,,ottobre 2006,,Roma0607.jpg,True,accertata
07/08,Roma,Roma e dintorni 2007,07,Copertina 2007 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,176,,ottobre 2007,,Roma0708.jpg,True,accertata
08/09,Roma,Roma e dintorni 2008/2009,08/09,Copertina 2008/2009 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,176,,ottobre 2008,,Roma0809.jpg,True,accertata
09/10,Roma,Roma e dintorni 2009/2010,09/10,Copertina 2009/2010 arancione/bianca formato ridotto,226 x 274 mm,grossa,TuttoCittà anni dieci,248,,ottobre 2009,Riforma cartografica; nuovo formato; inserto Agenzia del Territorio,Roma0910.jpg,True,accertata
10/11,Roma,Roma e dintorni 2010/2011,10/11,Copertina 2010/2011 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,216,,ottobre 2010,,Roma1011.jpg,True,accertata
11/12,Roma,Roma 2011/2012,11/12,Copertina 2011/2012 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,208,,ottobre 2011,,Roma1112.jpg,True,accertata
12/13,Roma,Roma 2012/2013,12/13,Copertina 2012/2013 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,208,,ottobre 2012,,Roma1213.jpg,True,accertata
13/14,Roma,Roma 2013/2014,13/14,Copertina 2013/2014 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,184,,settembre 2013,,Roma1314.jpg,True,accertata
14/15,Roma,Roma 2014/2015,14/15,Copertina 2014/2015 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,192,,settembre 2014,,Roma1415.jpg,True,accertata
