foglio,fascicolo,denominazione,anno_copertina,annata,nome_censimento,linea,pagine_totali,layout,dimensioni,copertina,sfondo_cartografia,colore,copertina_immagine,nome_in_copertina,mese_aggiornamento,note
CA 01,Cagliari 2001/2002,Cagliari,01/02,01/02,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,82,TuttoCittà nuovo millennio ter,226 x 274 mm,Sottile,Grigio cromatico,#FFD966,CA01.jpg,Cagliari 2001/2002,aprile 2001,
CA 02,Cagliari 2002/2003,Cagliari,02/03,02/03,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,70,TuttoCittà nuovo millennio ter,226 x 274 mm,Sottile,Grigio cromatico,#FFD966,CA02.jpg,Cagliari 2002/2003,maggio 2002,
CA 03,Cagliari 2003/2004,Cagliari,03/04,03/04,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,78,TuttoCittà nuovo millennio ter,226 x 274 mm,Sottile,Grigio cromatico,#FFD966,CA03.jpg,Cagliari 2003/2004,giugno 2003,
CA 04,Cagliari 2004,Cagliari,04,04/05,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,70,TuttoCittà nuovo millennio ter,226 x 274 mm,Sottile,Grigio cromatico,#FFD966,CA04.jpg,Cagliari 2004,giugno 2004,
CA 05,Cagliari 2005,Cagliari,05,05/06,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,70,TuttoCittà metà duemila,226 x 274 mm,Sottile,Grigio cromatico,#E69138,CA05.jpg,Cagliari 2005,giugno 2005,
CA 06,Cagliari 2006,Cagliari,06,06/07,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,80,TuttoCittà fine duemila,226 x 274 mm,Grossa,Grigio cromatico,#F6B26B,CA06.jpg,Cagliari 2006,giugno 2006,
CA 07,Cagliari 2007,Cagliari,07,07/08,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,88,TuttoCittà fine duemila,226 x 274 mm,Grossa,Grigio cromatico,#F6B26B,CA07.jpg,Cagliari 2007,giugno 2007,
CA 08,Cagliari 2008/2009,Cagliari,08/09,08/09,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,56,TuttoCittà fine duemila,226 x 274 mm,Grossa,Grigio cromatico,#F6B26B,CA08.jpg,Cagliari 2008/2009,giugno 2008,
CA CI VS 09,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,Cagliari - Carbonia Iglesias - Medio Campidano,09/10,09/10,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,48,TuttoCittà fine duemila,226 x 274 mm,Grossa,Grigio cromatico,#F6B26B,CA09.jpg,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,giugno 2009,
CA CI VS 10,Cagliari - Carbonia Iglesias - Medio Campidano 2010/2011,Cagliari - Carbonia Iglesias - Medio Campidano,10/11,10/11,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,48,TuttoCittà anni dieci,140 x 212 mm,Grossa,Rosa,#F9CB9C,CA10.jpg,Cagliari - Carbonia Iglesias - Medio Campidano 2010/2011,giugno 2010,Riforma cartografica; nuovo formato
CA CI VS 11,Cagliari - Carbonia Iglesias - Medio Campidano 2011/2012,Cagliari - Carbonia Iglesias - Medio Campidano,11/12,11/12,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,56,TuttoCittà anni dieci,140 x 212 mm,Grossa,Rosa,#F9CB9C,CA11.jpg,Cagliari - Carbonia Iglesias - Medio Campidano 2011/2012,giugno 2011,Inserto Agenzia del Territorio
CA CI VS 12,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,Cagliari - Carbonia Iglesias - Medio Campidano,12/13,12/13,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,48,TuttoCittà anni dieci,140 x 212 mm,Grossa,Rosa,#F9CB9C,CA12.jpg,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,maggio 2012,
CA CI VS 13,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,Cagliari - Carbonia Iglesias - Medio Campidano,13/14,13/14,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,64,TuttoCittà anni dieci,140 x 212 mm,Grossa,Rosa,#F9CB9C,CA13.jpg,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,maggio 2013,
CA CI VS 14,Cagliari - Carbonia Iglesias - Medio Campidano 2014/2015,Cagliari - Carbonia Iglesias - Medio Campidano,14/15,14/15,Cagliari (Cagliari - Carbonia Iglesias - Medio Campidano dal 2009),Cagliari,56,TuttoCittà anni dieci,140 x 212 mm,Grossa,Rosa,#F9CB9C,CA14.jpg,Cagliari - Carbonia Iglesias - Medio Campidano 2014/2015,maggio 2014,
